DATA,NAME,LABEL
SSTAAR_GR3,SDL03AMA1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, EL, STAAR Mathematics Rate"
SSTAAR_GR3,SDL03ARE1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, EL, STAAR Reading/ELA Rate"
SSTAAR_GR3,SDE03AMA1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Econ Disadv, STAAR Mathematics Rate"
SSTAAR_GR3,SDE03ARE1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Econ Disadv, STAAR Reading/ELA Rate"
SSTAAR_GR3,SDF03AMA1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Female, STAAR Mathematics Rate"
SSTAAR_GR3,SDF03ARE1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Female, STAAR Reading/ELA Rate"
SSTAAR_GR3,SNS03AMA1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Former Special Ed, STAAR Mathematics Rate"
SSTAAR_GR3,SNS03ARE1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Former Special Ed, STAAR Reading/ELA Rate"
SSTAAR_GR3,SDH03AMA1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Hispanic, STAAR Mathematics Rate"
SSTAAR_GR3,SDH03ARE1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Hispanic, STAAR Reading/ELA Rate"
SSTAAR_GR3,SDM03AMA1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Male, STAAR Mathematics Rate"
SSTAAR_GR3,SDM03ARE1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Male, STAAR Reading/ELA Rate"
SSTAAR_GR3,SNM03AMA1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Mobile, STAAR Mathematics Rate"
SSTAAR_GR3,SNM03ARE1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Mobile, STAAR Reading/ELA Rate"
SSTAAR_GR3,SD403AMA1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Pacific Islander, STAAR Mathematics Rate"
SSTAAR_GR3,SD403ARE1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Pacific Islander, STAAR Reading/ELA Rate"
SSTAAR_GR3,SDS03AMA1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Special Ed, STAAR Mathematics Rate"
SSTAAR_GR3,SDS03ARE1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Special Ed, STAAR Reading/ELA Rate"
SSTAAR_GR3,SD203AMA1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Two or More Races, STAAR Mathematics Rate"
SSTAAR_GR3,SD203ARE1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, Two or More Races, STAAR Reading/ELA Rate"
SSTAAR_GR3,SDW03AMA1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, White, STAAR Mathematics Rate"
SSTAAR_GR3,SDW03ARE1219R,"State 2019 Domain 1A: Meets Grade Level STD, Grade 3, White, STAAR Reading/ELA Rate"
